          1 bytes     0.279998779297 us, bandwidth     3.405995 MB/s
          2 bytes     0.275397300720 us, bandwidth     6.925807 MB/s
          4 bytes     0.284409523010 us, bandwidth    13.412692 MB/s
          8 bytes     0.278151035309 us, bandwidth    27.428963 MB/s
         16 bytes     0.275349617004 us, bandwidth    55.416053 MB/s
         32 bytes     0.278151035309 us, bandwidth   109.715853 MB/s
         64 bytes     0.335896015167 us, bandwidth   181.708486 MB/s
        128 bytes     0.384700298309 us, bandwidth   317.312758 MB/s
        256 bytes     0.384092330933 us, bandwidth   635.630043 MB/s
        512 bytes     0.441503524780 us, bandwidth  1105.950967 MB/s
       1024 bytes     0.523495674133 us, bandwidth  1865.464317 MB/s
       2048 bytes     0.699949264526 us, bandwidth  2790.380816 MB/s
       4096 bytes     1.025056838989 us, bandwidth  3810.764293 MB/s
       8192 bytes     1.724195480347 us, bandwidth  4531.098758 MB/s
      16384 bytes     2.750909328461 us, bandwidth  5679.940025 MB/s
      32768 bytes     4.643452167511 us, bandwidth  6729.906732 MB/s
      65536 bytes     7.858490943909 us, bandwidth  7953.180890 MB/s
     131072 bytes    14.402651786804 us, bandwidth  8678.957309 MB/s
     262144 bytes    28.939008712769 us, bandwidth  8638.858452 MB/s
     524288 bytes    66.885745525360 us, bandwidth  7475.434356 MB/s
    1048576 bytes   127.785694599152 us, bandwidth  7825.602100 MB/s
    2097152 bytes   236.835455894470 us, bandwidth  8444.681530 MB/s
