type,size,runtime
static,1,13.881513
static-1,1,14.045707
dynamic,1,13.948119
guided,1,13.994604
static,2,14.283970
static-1,2,14.014986
dynamic,2,14.113646
guided,2,14.253774
static,3,14.176221
static-1,3,13.943023
dynamic,3,14.231221
guided,3,14.313127
static,4,14.359263
static-1,4,14.064159
dynamic,4,14.042158
guided,4,14.383671
static,5,14.496070
static-1,5,13.969787
dynamic,5,14.123038
guided,5,14.426583
static,6,14.487453
static-1,6,14.190894
dynamic,6,14.086210
guided,6,14.624888
static,7,14.279761
static-1,7,14.275955
dynamic,7,13.929316
guided,7,14.154146
static,8,14.324751
static-1,8,14.074325
dynamic,8,14.162025
guided,8,14.374523
static,9,14.327070
static-1,9,14.031398
dynamic,9,14.103133
guided,9,14.665298
static,10,14.518617
static-1,10,14.173534
dynamic,10,14.076958
guided,10,14.234318
static,11,14.570389
static-1,11,14.029598
dynamic,11,14.148713
guided,11,14.547618
static,12,14.728219
static-1,12,14.548436
dynamic,12,14.095986
guided,12,14.449714
static,13,14.509442
static-1,13,14.167488
dynamic,13,13.968519
guided,13,14.684349
static,14,14.371775
static-1,14,14.107763
dynamic,14,14.115237
guided,14,14.332032
static,15,14.433632
static-1,15,14.077179
dynamic,15,14.267491
guided,15,14.290925
static,16,14.461904
static-1,16,14.057895
dynamic,16,13.978198
guided,16,14.703490
static,17,14.626730
static-1,17,14.003622
dynamic,17,14.119808
guided,17,14.383031
static,18,14.545875
static-1,18,14.254086
dynamic,18,14.153466
guided,18,14.335305
static,19,14.727106
static-1,19,14.208209
dynamic,19,14.087377
guided,19,14.448988
static,20,14.783008
static-1,20,14.193176
dynamic,20,14.244830
guided,20,14.715714
static,21,14.964052
static-1,21,14.461837
dynamic,21,14.056879
guided,21,14.879817
static,22,14.820525
static-1,22,14.229033
dynamic,22,13.984339
guided,22,14.381011
static,23,14.568531
static-1,23,14.417631
dynamic,23,14.114362
guided,23,14.641806
static,24,14.454472
static-1,24,14.181253
dynamic,24,14.112259
guided,24,14.549257
